Sentiment,SentimentText
1,สอบถามหน่อยค่ะ ส่งของไปชุมพรได้ไหมคะ งดรับพัสดุไหมคะ
1,เมนูหลัก
1,สอบถามหน่อยค่ะ ส่งของไปชุมพรได้ไหมคะ งดรับพัสดุไหมคะ
1,hello
1,Track and Trace
0,พึงพอใจมาก
0,พึงพอใจมาก
1,คุณS O M POY Follow
1,คุณS O M POY Follow
1,ติดตามสถานะพัสดุ
1,ตรวจสอบค่าพัสดุ
1,พึงพอใจมาก
1,ต้องการตรวจสอบสถานะ
1,บริการ
1,ต้องการเปลี่ยนที่อยู่ผู้รับ
1,ต้องการเปลี่ยนที่อยู่ผู้รับ
1,ตรวจสอบค่าพัสดุ
1,ติดตามสถานะพัสดุ
1,คุณᴋ ᴀ ʏ ᴀ ᴄ  ᴇ Follow
1,คุณᴋ ᴀ ʏ ᴀ ᴄ  ᴇ Follow
1,งดบริการเรียกรถเข้ารับพัสดุชั่วคราว
1,ต้องการตรวจสอบสถานะ
0,ไม่สามารถติดตามพัสดุ
1,พึงพอใจ
1,พึงพอใจ
1,รับสมัครพนักงานคััดเเยกพัสดุเปล่าครับ
1,เมนูหลัก
1,ต้องการตรวจสอบสถานะ
0,ไม่สามารถติดตามพัสดุ
1,ติดตามสถานะพัสดุ
1,บริการจากเรา
1,สวัสดีครับ
0,ผมรออาหารแมว ไม่มาส่งเลยครับ
1,ติดตามสถานะพัสดุ
1,ติดตามสถานะพัสดุ
1,ติดตามสถานะพัสดุ
1,ติดตามสถานะพัสดุ
1,ติดตามสถานะพัสดุ
0,ไม่สามารถติดตามพัสดุ
1,ติดตามสถานะพัสดุ
1,ติดตามสถานะพัสดุ
0,ไม่สามารถติดตามพัสดุ
1,ต้องการตรวจสอบสถานะ
1,ต้องการตรวจสอบสถานะ
1,คุณshow additional Follow
1,คุณshow additional Follow
1,คุณJanee🐷 Follow
1,คุณJanee🐷 Follow
1,ต้องการตรวจสอบสถานะ
1,อยากทราบว่า ถ้าส่งพัสดุจากสมุทรปราการ มาลำพูนใช้เวลากี่วันคะ สถานะตอนเช็คล่าสุดคือรอจัดส่ง
1,เมนูหลัก
1,ติดตามสถานะพัสดุ
0,ไม่สามารถติดตามพัสดุ
1,คับ
0,ไม่สามารถติดตามพัสดุ
1,Track and Trace
1,งดบริการเรียกรถเข้ารับพัสดุชั่วคราว
1,ค้นหาสาขาใกล้คุณ
1,ติดตามสถานะพัสดุ
1,ต้องการตรวจสอบสถานะ
1,ต้องการตรวจสอบสถานะ
1,ต้องการตรวจสอบสถานะ
1,ต้องการตรวจสอบสถานะ
1,พึงพอใจ
